shooterId,goalieId,blockerId,teamId,x,y,time,type,shot_type,gameId,awayNumPlayers,awayFwdIds,awayDefIds,awayGoalieIds,homeFwdIds,homeDefIds,homeGoalieIds,homeNumPlayers,scenario,pred,xgoals
8471675,8478048,0,5,57.0,2.0,846,SHOT,Wrist Shot,2021030143,6,8475184_8476459_8478366,8476885_8480817,8478048,8471675_8475810_8477404,8471724_8476875,8475839,6,5on5,0.11399553721236877,0.11399553721236877
8481554,8475839,0,3,-77.0,-2.0,885,SHOT,Wrist Shot,2021030143,6,8480078_8481554_8482109,8475747_8482073,8478048,8471215_8477953_8478046,8477244_8478017,8475839,6,5on5,0.17103087018337892,0.17103087018337892
8478542,8478048,0,5,60.0,3.0,915,GOAL,Wrist Shot,2021030143,6,8471817_8478211_8479291,8474027_8479323,8478048,8470619_8476927_8478542,8477969_8478507,8475839,6,5on5,0.11965886277969395,0.11965886277969395
8476885,8475839,0,3,-35.0,35.0,957,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8476885_8480817,8478048,8470604_8475722_8476934,8471724_8476875,8475839,6,5on5,-0.023764644964094472,-0.023764644964094472
8477429,0,0,3,-68.0,-3.0,1006,MISSED_SHOT,none,2021030143,6,8476458_8477429_8478550,8479323_8480817,8478048,8470604_8475722_8475810,8471724_8476875,8475839,6,5on5,0.0,0.0
8480817,0,8471675,3,-74.0,-6.0,1024,BLOCKED_SHOT,none,2021030143,6,8475184_8476459_8478366,8476885_8480817,8478048,8471675_8475810_8477404,8477244_8478017,8475839,6,5on5,0.0,0.0
8476459,0,8478017,3,-69.0,2.0,1041,BLOCKED_SHOT,none,2021030143,6,8475184_8476459_8478366,8475747_8476885,8478048,8471675_8475810_8477404,8477244_8478017,8475839,6,5on5,0.0,0.0
8477969,0,8478366,5,49.0,23.0,1049,BLOCKED_SHOT,none,2021030143,6,8475184_8476459_8478366,8475747_8476885,8478048,8471675_8475810_8477404,8477969_8478507,8475839,6,5on5,0.0,0.0
8478366,0,0,3,-55.0,-13.0,1059,MISSED_SHOT,none,2021030143,6,8475184_8478366_8480078,8475747_8482073,8478048,8471675_8477404_8477953,8477969_8478507,8475839,6,5on5,0.0,0.0
8477953,8478048,0,5,43.0,-26.0,1099,SHOT,Wrist Shot,2021030143,6,8479291_8481554_8482109,8475747_8482073,8478048,8471215_8477953_8478046,8471724_8476875,8475839,6,5on5,0.021020454583490666,0.021020454583490666
8475722,8478048,0,5,37.0,17.0,1156,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8476885_8480817,8478048,8470604_8475722_8476934,8477969_8478507,8475839,6,5on5,0.033183993919437826,0.033183993919437826
8476875,8478048,0,5,43.0,18.0,1175,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8476885_8480817,8478048,8471675_8475810_8477404,8471724_8476875,8475839,6,5on5,0.04578751419742966,0.04578751419742966
8475810,0,0,5,80.0,1.0,1182,MISSED_SHOT,none,2021030143,6,8476458_8477429_8478550,8476885_8480817,8478048,8471675_8475810_8477404,8471724_8476875,8475839,6,5on5,0.0,0.0
8476875,8478048,0,5,50.0,21.0,1189,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8476885_8480817,8478048,8471675_8476934_8477404,8471724_8476875,8475839,6,5on5,0.05301974572273327,0.05301974572273327
8477953,0,0,5,55.0,14.0,1194,MISSED_SHOT,none,2021030143,6,8475184_8476459_8478366,8475747_8482073,8478048,8470604_8471215_8477953,8477969_8478507,8475839,6,5on5,0.0,0.0
8477953,0,0,5,60.0,23.0,1194,MISSED_SHOT,none,2021030143,6,8475184_8476459_8478366,8475747_8482073,8478048,8470604_8471215_8477953,8477969_8478507,8475839,6,5on5,0.0,0.0
8476885,8475839,0,3,-36.0,27.0,1222,SHOT,Snap Shot,2021030143,6,8475184_8476459_8478366,8476885_8480817,8480382,8471675_8475810_8477404,8471724_8476875,8475839,6,5on5,0.01492585125555268,0.01492585125555268
8480817,0,8471675,3,-78.0,-20.0,1231,BLOCKED_SHOT,none,2021030143,6,8475184_8476459_8478366,8476885_8480817,8480382,8471675_8475810_8477404,8471724_8476875,8475839,6,5on5,0.0,0.0
8478507,0,0,5,38.0,-28.0,1260,MISSED_SHOT,none,2021030143,6,8476458_8477429_8478550,8474027_8479323,8480382,8471215_8477953_8478046,8477969_8478507,8475839,6,5on5,0.0,0.0
8474027,0,0,3,-40.0,-16.0,1304,MISSED_SHOT,none,2021030143,6,8480078_8481554_8482109,8474027_8479323,8480382,8470604_8475722_8476934,8477969_8478507,8475839,6,5on5,0.0,0.0
8480078,8475839,0,3,-67.0,7.0,1307,SHOT,Wrist Shot,2021030143,6,8480078_8481554_8482109,8479323_8482073,8480382,8470604_8475722_8476934,8477969_8478507,8475839,6,5on5,0.13446787496807833,0.13446787496807833
8479291,0,8471724,3,-62.0,9.0,1353,BLOCKED_SHOT,none,2021030143,6,8471817_8475184_8479291,8476885_8480817,8480382,8471675_8475810_8477404,8471724_8476875,8475839,6,5on5,0.0,0.0
8475184,8475839,0,3,-48.0,-29.0,1395,SHOT,Wrist Shot,2021030143,6,8475184_8476459_8478366,8476885_8480817,8480382,8470604_8475722_8476934,8477244_8478017,8475839,6,5on5,0.019649695838114156,0.019649695838114156
8477429,8475839,0,3,-73.0,-4.0,1434,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8474027_8479323,8480382,8470604_8475722_8476934,8476875_8477969,8475839,6,5on5,0.15869909380772007,0.15869909380772007
8476458,8475839,0,3,-73.0,-0.0,1466,SHOT,Tip-In,2021030143,6,8476458_8477429_8478550,8479323_8482073,8480382,8471215_8477953_8478046,8471724_8476875,8475839,6,5on5,0.18347517182958784,0.18347517182958784
8478550,0,0,3,-55.0,-4.0,1474,MISSED_SHOT,none,2021030143,6,8476458_8477429_8478550,8479323_8482073,8480382,8471215_8477953_8478046,8471724_8476875,8475839,6,5on5,0.0,0.0
8476875,0,0,5,71.0,17.0,1490,MISSED_SHOT,none,2021030143,6,8480078_8481554_8482109,8475747_8482073,8480382,8471215_8477953_8478046,8471724_8476875,8475839,6,5on5,0.0,0.0
8482109,8475839,0,3,-78.0,-4.0,1536,SHOT,Tip-In,2021030143,6,8479291_8481554_8482109,8476885_8480817,8480382,8470619_8476927_8478542,8477244_8478017,8475839,6,5on5,0.1913836222819213,0.1913836222819213
8478211,0,8477969,3,-58.0,20.0,1558,BLOCKED_SHOT,none,2021030143,6,8471817_8478211_8479291,8474027_8479323,8480382,8471675_8475810_8477404,8477969_8478507,8475839,6,5on5,0.0,0.0
8478366,8475839,0,3,-69.0,10.0,1611,GOAL,Wrist Shot,2021030143,6,8476458_8477429_8478550,8475747_8482073,8480382,8471215_8477953_8478046,8477969_8478507,8475839,6,5on5,0.13412406956780898,0.13412406956780898
8478550,0,8478507,3,-63.0,4.0,1634,BLOCKED_SHOT,none,2021030143,6,8476458_8477429_8478550,8475747_8482073,8480382,8471215_8477953_8478046,8477969_8478507,8475839,6,5on5,0.0,0.0
8476458,8475839,0,3,-72.0,11.0,1639,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8475747_8482073,8480382,8471215_8477953_8478046,8477969_8478507,8475839,6,5on5,0.13657922508006537,0.13657922508006537
8478550,8475839,0,3,-75.0,-3.0,1668,SHOT,Snap Shot,2021030143,6,8476458_8477429_8478550,8474027_8479323,8480382,8470604_8475722_8476934,8471724_8476875,8475839,6,5on5,0.18188738546088323,0.18188738546088323
8476458,8475839,0,3,-72.0,-2.0,1669,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8474027_8479323,8480382,8470604_8475722_8476934,8471724_8476875,8475839,6,5on5,0.15891604867100106,0.15891604867100106
8478550,8475839,0,3,-70.0,-23.0,1678,GOAL,Snap Shot,2021030143,6,8475184_8476459_8478366,8476885_8480817,8480382,8471675_8475810_8477404,8477969_8478507,8475839,6,5on5,0.09052156174575343,0.09052156174575343
8474027,0,0,3,-34.0,3.0,1714,MISSED_SHOT,none,2021030143,6,8475184_8476459_8478366,8474027_8479323,8480382,8471675_8475810_8477404,8477969_8478507,8475839,6,5on5,0.0,0.0
8478366,0,8478507,3,-80.0,1.0,1735,BLOCKED_SHOT,none,2021030143,6,8475184_8476459_8478366,8474027_8479323,8480382,8471215_8475810_8477404,8477969_8478507,8475839,6,5on5,0.0,0.0
8475810,0,0,5,76.0,3.0,1743,MISSED_SHOT,none,2021030143,6,8476459_8478366_8482109,8474027_8479323,8480382,8471215_8475810_8477404,8477244_8478017,8475839,6,5on5,0.0,0.0
8477244,8480382,0,5,40.0,-31.0,1762,SHOT,Wrist Shot,2021030143,6,8480078_8481554_8482109,8476885_8480817,8480382,8471215_8477953_8478046,8477244_8478017,8475839,6,5on5,-0.04037617843698682,-0.04037617843698682
8478046,8480382,0,5,46.0,-0.0,1781,SHOT,Wrist Shot,2021030143,6,8480078_8481554_8482109,8476885_8480817,8480382,8471215_8477953_8478046,8477244_8478017,8475839,6,5on5,0.08728491049127374,0.08728491049127374
8476927,0,8482073,5,66.0,8.0,1809,BLOCKED_SHOT,none,2021030143,6,8471817_8478211_8479291,8475747_8482073,8480382,8470619_8476927_8478542,8471724_8476875,8475839,6,5on5,0.0,0.0
8478542,8480382,0,5,57.0,-40.0,1821,SHOT,Snap Shot,2021030143,6,8471817_8478211_8479291,8475747_8482073,8480382,8470619_8476927_8478542,8471724_8476875,8475839,6,5on5,0.0006158654771549754,0.0006158654771549754
8479323,0,8471724,3,-78.0,-1.0,1878,BLOCKED_SHOT,none,2021030143,6,8476459_8477429_8478550,8474027_8479323,8480382,8470604_8475722_8476934,8471724_8476875,8475839,6,5on5,0.0,0.0
8479323,8475839,0,3,-77.0,24.0,1926,SHOT,Slap Shot,2021030143,6,8475184_8476459_8478366,8474027_8479323,8480382,8470604_8475722_8476934,8477244_8478017,8475839,6,5on5,0.08690515415936917,0.08690515415936917
8478366,8475839,0,3,-41.0,8.0,1955,SHOT,Snap Shot,2021030143,6,8475184_8480078_8482109,8479323_8482073,8480382,8471215_8477953_8478046,8477969_8478507,8475839,6,5on5,0.0783286323545741,0.0783286323545741
8477953,0,0,5,56.0,14.0,1968,MISSED_SHOT,none,2021030143,6,8480078_8481554_8482109,8475747_8482073,8480382,8471215_8477953_8478046,8477969_8478507,8475839,6,5on5,0.0,0.0
8482073,0,0,3,-52.0,2.0,1991,MISSED_SHOT,none,2021030143,6,8480078_8481554_8482109,8475747_8482073,8480382,8471215_8477953_8478046,8477969_8478507,8475839,6,5on5,0.0,0.0
8478542,8480382,0,5,52.0,6.0,2009,SHOT,Wrist Shot,2021030143,6,8471817_8478211_8479291,8476885_8480817,8480382,8470619_8476927_8478542,8471724_8476875,8475839,6,5on5,0.09775797711228129,0.09775797711228129
8479323,8475839,0,3,-36.0,19.0,2087,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8479323_8482073,8480382,8470619_8476927_8478542,8477969_8478507,8475839,6,5on5,0.02548109607847493,0.02548109607847493
8478542,0,0,5,75.0,-4.0,2098,MISSED_SHOT,none,2021030143,6,8476458_8477429_8478550,8479323_8482073,8480382,8470619_8476927_8478542,8476875_8477969,8475839,6,5on5,0.0,0.0
8476875,0,0,5,72.0,15.0,2113,MISSED_SHOT,none,2021030143,6,8476459_8477429_8478550,8479323_8482073,8480382,8471215_8471675_8477404_8478542,8471724_8476875,,6,emptyNet,0.0,0.0
8471675,0,8476885,5,63.0,10.0,2147,BLOCKED_SHOT,none,2021030143,5,8477429_8479291,8476885_8480817,8480382,8471215_8471675_8475810_8477404,8471724,8475839,6,5on4,0.0,0.0
8479291,8475839,0,3,-80.0,-0.0,2158,SHOT,Wrist Shot,2021030143,5,8477429_8479291,8476885_8480817,8480382,8471215_8471675_8475810_8477404,8471724,8475839,6,5on4,0.1804092493803805,0.1804092493803805
8477429,8475839,0,3,-80.0,-0.0,2159,GOAL,Wrist Shot,2021030143,5,8475184_8476459,8474027_8479323,8480382,8470604_8477953_8478046_8478542,8476875,8475839,6,5on4,0.18361867653928088,0.18361867653928088
8478046,8480382,0,5,75.0,-2.0,2189,SHOT,Tip-In,2021030143,5,8475184_8476459,8474027_8479323,8480382,8470604_8477953_8478046_8478542,8476875,8475839,6,5on4,0.19035415699700675,0.19035415699700675
8475722,8480382,0,5,69.0,29.0,2275,SHOT,Wrist Shot,2021030143,6,8480078_8481554_8482109,8476885_8479323,8480382,8475722_8476927_8476934,8477244_8477969,8475839,6,5on5,0.0457279513260499,0.0457279513260499
8477953,8480382,0,5,63.0,-18.0,2307,SHOT,Wrist Shot,2021030143,6,8480078_8481554_8482109,8474027_8479323,8480382,8471215_8477953_8478046,8477244_8477969,8475839,6,5on5,0.10116965724985627,0.10116965724985627
8478550,8475839,0,3,-61.0,30.0,2328,SHOT,Wrist Shot,2021030143,6,8475184_8476458_8476459_8478550,8479323,8480382,8476927_8476934,8477244_8478507,8475839,5,5on4,0.03124448434421756,0.03124448434421756
8476459,0,8476927,3,-72.0,-4.0,2349,BLOCKED_SHOT,none,2021030143,6,8475184_8476458_8476459_8478550,8479323,8480382,8476927_8476934,8477244_8478507,8475839,5,5on4,0.0,0.0
8476458,0,0,3,-74.0,-4.0,2367,MISSED_SHOT,none,2021030143,6,8475184_8476458_8476459_8478550,8479323,8480382,8470619_8475810,8471724_8476875,8475839,5,5on4,0.0,0.0
8479323,0,0,3,-41.0,-7.0,2397,MISSED_SHOT,none,2021030143,6,8475184_8476458_8476459_8478550,8479323,8480382,8476927_8476934,8471724_8476875,8475839,5,5on4,0.0,0.0
8475184,8475839,0,3,-51.0,-30.0,2445,SHOT,Wrist Shot,2021030143,6,8475184_8476459_8478550,8476885_8480817,8480382,8471675_8475810_8477404,8471724_8476875,8475839,6,5on5,0.018507093696731647,0.018507093696731647
8476885,8475839,0,3,-58.0,31.0,2472,SHOT,Wrist Shot,2021030143,6,8480078_8481554_8482109,8476885_8480817,8480382,8471675_8475810_8477404,8471724_8476875,8475839,6,5on5,0.027535618587817612,0.027535618587817612
8474027,0,0,3,-33.0,7.0,2478,MISSED_SHOT,none,2021030143,6,8475184_8476459_8478366,8474027_8479323,8480382,8470604_8475722_8476934,8471724_8476875,8475839,6,5on5,0.0,0.0
