,seasonId,gameId,time,period,periodTime,x,y,shooterId,blockerId,goalieId,teamId,isGoal,isBlocked,type,shot_type
54,2023,2023030121,1419,2,03:39,-47,6,8479987,8481122,0,6,False,True,blocked-shot,unknown
55,2023,2023030121,1470,2,04:30,78,21,8479318,0,8480280,10,False,False,missed-shot,wrist
56,2023,2023030121,1501,2,05:01,73,18,8482720,0,8480280,10,False,False,missed-shot,snap
57,2023,2023030121,1537,2,05:37,-71,13,8473419,8482720,0,6,False,True,blocked-shot,unknown
58,2023,2023030121,1547,2,05:47,-52,19,8478443,0,8478492,6,True,False,goal,slap
59,2023,2023030121,1613,2,06:53,83,16,8471817,0,8480280,10,False,False,shot-on-goal,backhand
60,2023,2023030121,1614,2,06:54,81,9,8471817,0,8480280,10,False,False,shot-on-goal,wrist
61,2023,2023030121,1638,2,07:18,-82,4,8474034,8481556,0,10,False,True,blocked-shot,unknown
62,2023,2023030121,1639,2,07:19,-75,2,8480003,0,8478492,6,False,False,shot-on-goal,wrist
63,2023,2023030121,1751,2,09:11,54,26,8480980,0,8480280,10,False,False,shot-on-goal,wrist
64,2023,2023030121,1775,2,09:35,-61,-20,8476891,0,8478492,6,False,False,shot-on-goal,wrist
65,2023,2023030121,1779,2,09:39,-54,-6,8479369,8480980,0,6,False,True,blocked-shot,unknown
66,2023,2023030121,1807,2,10:07,-81,6,8474034,8476931,0,6,False,True,blocked-shot,unknown
67,2023,2023030121,1876,2,11:16,64,22,8479318,0,8480280,10,False,False,shot-on-goal,wrist
68,2023,2023030121,1884,2,11:24,38,19,8477479,0,8480280,10,False,False,missed-shot,wrist
69,2023,2023030121,1934,2,12:14,-40,-35,8480880,0,8478492,6,False,False,shot-on-goal,wrist
70,2023,2023030121,1937,2,12:17,-68,-1,8478401,0,8478492,6,False,False,shot-on-goal,snap
71,2023,2023030121,1942,2,12:22,-36,6,8476891,0,8478492,6,False,False,missed-shot,wrist
72,2023,2023030121,2006,2,13:26,84,-5,8477479,0,8480280,10,False,False,missed-shot,tip-in
73,2023,2023030121,2014,2,13:34,69,-17,8477479,0,8480280,10,False,False,shot-on-goal,wrist
74,2023,2023030121,2102,2,15:02,-52,19,8478498,0,8478492,6,True,False,goal,wrist
75,2023,2023030121,2144,2,15:44,-74,-1,8478401,8476441,0,6,False,True,blocked-shot,unknown
76,2023,2023030121,2184,2,16:24,-74,21,8477956,0,8478492,6,False,False,shot-on-goal,wrist
77,2023,2023030121,2254,2,17:34,-79,-1,8478498,0,8478492,6,True,False,goal,tip-in
78,2023,2023030121,2274,2,17:54,79,2,8477503,0,8480280,10,False,False,shot-on-goal,tip-in
79,2023,2023030121,2282,2,18:02,84,-29,8479318,0,8480280,10,False,False,shot-on-goal,wrist
80,2023,2023030121,2357,2,19:17,65,-4,8476853,8481556,0,10,False,True,blocked-shot,unknown
81,2023,2023030121,2388,2,19:48,-82,14,8478498,0,8478492,6,False,False,shot-on-goal,wrist
82,2023,2023030121,2431,3,00:31,-59,-21,8475166,0,8480280,10,False,False,shot-on-goal,slap
83,2023,2023030121,2499,3,01:39,-72,-2,8480144,0,8480280,10,True,False,goal,wrist
84,2023,2023030121,2519,3,01:59,-59,-42,8476441,0,8480280,10,False,False,missed-shot,wrist
85,2023,2023030121,2542,3,02:22,-81,5,8481582,8476891,0,10,False,True,blocked-shot,unknown
